1;121;55.5506
1;122;25.3442
2;121;-39.7662
2;122;16.2831
3;121;23.8396
3;122;43.7773
4;121;98.8993
4;122;-61.5028
5;121;62.1343
5;122;9.71595
6;121;-37.0447
6;122;-26.9265
7;121;-27.0431
7;122;21.8569
8;121;-38.8255
8;122;49.264
9;121;67.837
9;122;37.5054
10;121;-64.9174
10;122;83.0188
11;121;97.3962
11;122;55.0115
12;121;-72.5537
12;122;-84.2053
13;121;-83.1726
13;122;36.3252
14;121;83.4075
14;122;-66.8829
15;121;-66.9849
15;122;-73.8322
16;121;-80.6791
16;122;88.5657
17;121;23.7286
17;122;-61.3015
18;121;-1.57242
18;122;-34.5779
19;121;75.5986
19;122;65.6443
20;121;-33.3669
20;122;37.7328
21;121;-8.55206
21;122;59.6314
22;121;-89.1936
22;122;-92.0671
23;121;-43.3371
23;122;12.2242
24;121;-80.6835
24;122;-87.7533
25;121;0.803391
25;122;-77.1845
26;121;95.2656
26;122;-1.80036
27;121;89.1218
27;122;-30.1352
28;121;13.9944
28;122;-14.7177
29;121;-38.1887
29;122;-2.59811
30;121;70.0123
30;122;-5.17368
31;121;75.8025
31;122;89.3332
32;121;-72.2891
32;122;-69.2192
33;121;-78.8455
33;122;88.2408
34;121;9.32024
34;122;96.753
35;121;-8.0112
35;122;28.4646
36;121;34.4858
36;122;74.2409
37;121;-48.9826
37;122;45.2922
38;121;13.3857
38;122;-4.57281
39;121;3.78619
39;122;67.6797
40;121;7.67392
40;122;37.3183
41;121;90.4953
41;122;24.1879
42;121;-11.9791
42;122;79.617
43;121;39.0017
43;122;70.5137
44;121;85.5662
44;122;-82.2943
45;121;-72.256
45;122;55.5785
46;121;85.0631
46;122;47.9136
47;121;44.9117
47;122;-31.5449
48;121;91.8117
48;122;-57.5844
49;121;-56.8292
49;122;24.5583
50;121;-85.2724
50;122;48.6846
51;121;-87.4379
51;122;-2.69494
52;121;-45.8626
52;122;-36.4205
53;121;-57.4027
53;122;-59.5535
54;121;59.0067
54;122;0.113609
55;121;35.2028
55;122;-33.3194
56;121;-41.5667
56;122;77.0114
57;121;69.6201
57;122;14.9527
58;121;5.3151
58;122;98.0456
59;121;-14.5336
59;122;-9.11871
60;121;-5.85622
60;122;53.3821
61;121;-53.5402
61;122;-26.6546
62;121;44.8674
62;122;91.3715
63;121;41.8004
63;122;67.1334
64;121;57.4377
64;122;98.4963
65;121;35.0049
65;122;-47.6228
66;121;47.1809
66;122;-26.207
67;121;-82.4381
67;122;-98.6817
68;121;74.4057
68;122;-39.8408
69;121;10.5475
69;122;-13.6209
70;121;91.5419
70;122;4.04417
71;121;27.5612
71;122;-81.2939
72;121;-70.2578
72;122;22.6797
73;121;-27.2545
73;122;85.0839
74;121;20.7253
74;122;27.8527
75;121;-39.4144
75;122;-19.2279
76;121;-62.7943
76;122;-27.6016
77;121;-17.647
77;122;17.3747
78;121;-36.2301
78;122;-75.8466
79;121;-15.4919
79;122;-78.7925
80;121;-77.3503
80;122;35.739
81;121;-70.354
81;122;69.8305
82;121;99.532
82;122;59.0263
83;121;71.1488
83;122;-59.1343
84;121;77.9911
84;122;65.7243
85;121;-36.9325
85;122;54.4621
86;121;-55.9657
86;122;66.3432
87;121;9.15688
87;122;-7.75005
88;121;-10.977
88;122;31.8233
89;121;-91.1661
89;122;-90.2517
90;121;50.9487
90;122;-65.2275
91;121;-59.1204
91;122;-11.2307
92;121;-2.82913
92;122;5.11697
93;121;-59.1692
93;122;70.9407
94;121;25.2623
94;122;-49.2345
95;121;92.1483
95;122;38.8182
96;121;-106.4
96;122;33.6127
97;121;65.2818
97;122;-39.3901
98;121;-71.757
98;122;-11.1088
99;121;48.7388
99;122;11.8246
100;121;-43.7286
100;122;-99.2021
101;121;-8.71712
101;122;-64.6687
102;121;67.1411
102;122;-98.0411
103;122;-43.8359
104;121;-78.7293
104;122;55.5261
105;121;-34.0876
105;122;-92.356
106;121;90.2986
106;122;-5.33173
107;121;-3.58672
107;122;-2.53059
108;121;40.124
108;122;-50.7558
109;121;-31.5899
109;122;6.11044
110;121;-38.1549
110;122;-17.2068
111;121;-41.0487
111;122;8.34861
112;121;94.1711
112;122;76.6937
113;121;42.4919
113;122;-13.1899
114;121;-34.415
114;122;-77.3439
115;121;98.6347
115;122;-7.3116
116;121;88.2486
116;122;76.145
117;121;67.382
117;122;38.9862
118;121;79.3649
118;122;14.0742
119;121;95.1503
119;122;-99.3644
120;121;-39.484
120;122;-53.2217
103;124;75.8172
124;121;46.6922
